order_id,agent_id,market_id,order_time,is_buy,kind,volume,price,time_exp
0,0,0,0,True,LIMIT_ORDER,1,284.23246,101
0,2,2,0,True,LIMIT_ORDER,1,377.67544000000004,135
0,1,1,0,True,LIMIT_ORDER,1,290.77536000000003,123
1,1,1,1,False,LIMIT_ORDER,1,290.38457,123
1,2,2,1,True,LIMIT_ORDER,1,296.56589,135
1,0,0,1,True,LIMIT_ORDER,1,279.73474000000004,101
2,0,0,2,False,LIMIT_ORDER,1,319.18062000000003,101
2,2,2,2,True,LIMIT_ORDER,1,290.88405,135
2,1,1,2,True,LIMIT_ORDER,1,296.18652000000003,123
3,0,0,3,False,LIMIT_ORDER,1,309.14450000000005,101
3,2,2,3,False,LIMIT_ORDER,1,274.91962,135
3,1,1,3,True,LIMIT_ORDER,1,290.29561,123
4,0,0,4,True,LIMIT_ORDER,1,298.08437000000004,101
4,2,2,4,False,LIMIT_ORDER,1,285.69104000000004,135
4,1,1,4,True,LIMIT_ORDER,1,278.52603000000005,123
5,1,1,5,False,LIMIT_ORDER,1,301.25194000000005,123
5,2,2,5,False,LIMIT_ORDER,1,303.61868000000004,135
5,0,0,5,False,LIMIT_ORDER,1,301.53452000000004,101
6,0,0,6,True,LIMIT_ORDER,1,280.11379,101
6,1,1,6,False,LIMIT_ORDER,1,255.19409000000002,123
6,2,2,6,False,LIMIT_ORDER,1,290.79674,135
7,2,2,7,False,LIMIT_ORDER,1,281.77268000000004,135
7,0,0,7,True,LIMIT_ORDER,1,280.39067,101
7,1,1,7,True,LIMIT_ORDER,1,316.37254,123
8,0,0,8,False,LIMIT_ORDER,1,320.79521000000005,101
8,1,1,8,True,LIMIT_ORDER,1,288.29301000000004,123
8,2,2,8,True,LIMIT_ORDER,1,308.7731,135
9,0,0,9,False,LIMIT_ORDER,1,319.24452,101
9,1,1,9,True,LIMIT_ORDER,1,318.76792,123
9,2,2,9,True,LIMIT_ORDER,1,315.49353,135
10,0,0,10,True,LIMIT_ORDER,1,290.49203,101
10,1,1,10,False,LIMIT_ORDER,1,304.63262000000003,123
10,2,2,10,True,LIMIT_ORDER,1,319.83853000000005,135
11,0,0,11,False,LIMIT_ORDER,1,307.75844,101
11,2,2,11,True,LIMIT_ORDER,1,317.23804,135
11,1,1,11,True,LIMIT_ORDER,1,295.13324,123
12,0,0,12,False,LIMIT_ORDER,1,310.37177,101
12,2,2,12,False,LIMIT_ORDER,1,294.18697000000003,135
12,1,1,12,False,LIMIT_ORDER,1,270.70547000000005,123
13,1,1,13,False,LIMIT_ORDER,1,272.60427000000004,123
13,2,2,13,True,LIMIT_ORDER,1,301.62425,135
13,0,0,13,True,LIMIT_ORDER,1,287.33293000000003,101
14,0,0,14,False,LIMIT_ORDER,1,320.53524000000004,101
14,1,1,14,True,LIMIT_ORDER,1,286.44502,123
14,2,2,14,True,LIMIT_ORDER,1,293.14806000000004,135
15,0,0,15,True,LIMIT_ORDER,1,284.22218000000004,101
15,2,2,15,False,LIMIT_ORDER,1,282.28461000000004,135
15,1,1,15,True,LIMIT_ORDER,1,303.57521,123
16,1,1,16,True,LIMIT_ORDER,1,310.73063,123
16,2,2,16,True,LIMIT_ORDER,1,298.37789000000004,135
16,0,0,16,True,LIMIT_ORDER,1,282.44137,101
17,0,0,17,False,LIMIT_ORDER,1,312.29654000000005,101
17,2,2,17,False,LIMIT_ORDER,1,260.70838000000003,135
17,1,1,17,True,LIMIT_ORDER,1,332.38575000000003,123
18,2,2,18,False,LIMIT_ORDER,1,295.93011,135
18,1,1,18,False,LIMIT_ORDER,1,306.66802,123
18,0,0,18,True,LIMIT_ORDER,1,287.94496000000004,101
19,1,1,19,True,LIMIT_ORDER,1,278.91586,123
19,2,2,19,True,LIMIT_ORDER,1,316.95139,135
